original_name,standard_name
unknown,Life
Melanerpes formicivorus,Melanerpes formicivorus
Uranomitra franciae,Uranomitra franciae
Myadestes ralloides,Myadestes ralloides
Synallaxis azarae,Synallaxis azarae
Coereba flaveola,Coereba flaveola
Cyanocorax affinis,Cyanocorax affinis
Stilpnia heinei,Stilpnia heinei
Saltator atriceps,Saltator atriceps
Megarynchus pitangua,Megarynchus pitangua
Psilorhinus morio,Cyanocorax morio
Pionus chalcopterus,Pionus chalcopterus
Momotus lessonii,Momotus lessonii
Thraupis episcopus,Thraupis episcopus
Saltator maximus,Saltator maximus
Saucerottia hoffmanni,Saucerottia hoffmanni
Arremon brunneinucha,Arremon brunneinucha
Turdus grayi,Turdus grayi
Ortalis columbiana,Ortalis columbiana
Nyctidromus albicollis,Nyctidromus albicollis
Nyctibius griseus,Nyctibius griseus
Todirostrum cinereum,Todirostrum cinereum
Psittacara finschi,Psittacara finschi
Myiarchus tuberculifer,Myiarchus tuberculifer
Ramphocelus flammigerus,Ramphocelus flammigerus
Zimmerius chrysops,Zimmerius chrysops
Pitangus sulphuratus,Pitangus sulphuratus
Ortalis cinereiceps,Ortalis cinereiceps
Cyanocorax yncas,Cyanocorax yncas
Quiscalus mexicanus,Quiscalus mexicanus
Buteo plagiatus,Buteo plagiatus
Aramides cajaneus,Aramides cajaneus
Momotus aequatorialis,Momotus aequatorialis
Melanerpes hoffmannii,Melanerpes hoffmannii
Troglodytes aedon,Troglodytes aedon
Ramphastos sulfuratus,Ramphastos sulfuratus
Herpetotheres cachinnans,Herpetotheres cachinnans
Dryocopus lineatus,Dryocopus lineatus
Crypturellus soui,Crypturellus soui
Chiroxiphia linearis,Chiroxiphia linearis
Tityra semifasciata,Tityra semifasciata
Dives dives,Dives dives
Hippolais polyglotta,Hippolais polyglotta
Psarocolius montezuma,Psarocolius montezuma
Catharus aurantiirostris,Catharus aurantiirostris
Sittasomus griseicapillus,Sittasomus griseicapillus
Brotogeris jugularis,Brotogeris jugularis
Eupsittula canicularis,Eupsittula canicularis
Cantorchilus modestus,Cantorchilus modestus
Melozone cabanisi,Melozone cabanisi
Thryophilus rufalbus,Thryophilus rufalbus
Habia rubica,Habia rubica
Patagioenas flavirostris,Patagioenas flavirostris
Eubucco bourcierii,Eubucco bourcierii
Megaceryle torquata,Megaceryle torquata
Rupornis magnirostris,Rupornis magnirostris
Pachyramphus aglaiae,Pachyramphus aglaiae
Amazilia tzacatl,Amazilia tzacatl
Psarocolius angustifrons,Psarocolius angustifrons
Pheugopedius rutilus,Pheugopedius rutilus
Zonotrichia capensis,Zonotrichia capensis
Basileuterus rufifrons,Basileuterus rufifrons
Myiothlypis coronata,Myiothlypis coronata
Myiozetetes cayanensis,Myiozetetes cayanensis
Campylorhynchus rufinucha,Campylorhynchus rufinucha
